Address Offset,Group Offset,Name,Value,Count,Type,Size,Scale Factor,Units,RW Access (RW),Mandatory (M),Static (S),Label,Description,Detailed Description,Standards
,,battery,,,group,,,,,,,Battery Base Model,,,
0,,ID,899,,uint16,,,,,,S,Model ID,,,
1,,L,,,uint16,,,,,,S,Model Length,,,
2,,Rail voltage,,,uint16,,,V,,,,Rail voltage,,,
3,,FET temperatures,,,uint16,,,C,,,,FET temperatures,,,
4,,AFE die temperature,,,uint16,,,C,,,,AFE die temperature,,,
5,,MCU die temperature,,,uint16,,,C,,,,MCU die temperature,,,
6,,DCDC temperature,,,uint16,,,C,,,,DCDC temperature,,,
7,,Neg bat temp 1,,,uint16,,,C,,,,Neg bat temp 1,,,
8,,Neg bat temp 2,,,uint16,,,C,,,,Neg bat temp 2,,,
9,,Pos bat temp 1 (CB),,,uint16,,,C,,,,Pos bat temp 1 (CB),,,
10,,Pos terminal temp,,,uint16,,,C,,,,Pos terminal temp,,,
11,,Negative terminal temp,,,uint16,,,C,,,,Negative terminal temp,,,
12,,MAC address of ESP32,,,Text 12 char,,,,,,,MAC address of ESP32,,,
13,,Spec 899 protocol version,,,uint16,,,,,,,Spec 899 protocol version,,,
14,,Firmware version conroller,,,uint16,,,,,,,Firmware version conroller,,,
15,,Firmware version BMS,,,uint16,,,,,,,Firmware version BMS,,,
16,,Lifetime,,,uint16,,,h,,,,Lifetime,,,
17,,SVR Accelerometer X axis,,,uint16,,,m/s2,,,,SVR Accelerometer X axis,,,
18,,SVR Accelerometer Y axis,,,uint16,,,m/s2,,,,SVR Accelerometer Y axis,,,
19,,SVR Accelerometer Z axis,,,uint16,,,m/s2,,,,SVR Accelerometer Z axis,,,
20,,Product ID,,,Text 24 char,,,,,,,Product ID,,,
21,,Hardware revision,,,Text 4 char,,,,,,,Hardware revision,,,
22,,Product name,,,Text 24 char,,,,,,,Product name,,,
23,,Production date,,,Text 8 char,,,,,,,Production date,,,
24,,Customer serial number,,,Text 24 char,,,,,,,Customer serial number,,,
25,,Market name,,,Text 24 char,,,,,,,Market name,,,
26,,Installation date,,,Text 8 char,,,,,,,Installation date,,,
27,,Operation mode,,,bitfield32,,,,,,,Operation mode,Charge status of storage device. Enumeration.,,
28,,Alarms,,,bitfield32,,,,,,,Alarms,Alarms and warnings.  Bit flags.,,
